Fri Apr 23 16:10:32 2021    output.dat

         899508 function calls (875517 primitive calls) in 1.082 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2289    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\sre_parse.py:233(__next)
     1296    0.001    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\event.py:227(notify)
       11    0.001    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\analysis.py:118(compute_dead_maps)
  827/825    0.001    0.000    0.007    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\types\abstract.py:60(__call__)
      320    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\colorama\win32.py:92(_winapi_test)
       72    0.001    0.000    0.006    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:1610(_get)
     3113    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     1298    0.001    0.000    0.004    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\event.py:193(broadcast)
     2950    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\sre_parse.py:164(__getitem__)
   263/28    0.001    0.000    0.661    0.024 <frozen importlib._bootstrap_external>:777(exec_module)
     2656    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:49(_convert)
      827    0.001    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\types\abstract.py:48(_intern)
     4424    0.001    0.000    0.001    0.000 {method 'start' of 'xml.etree.ElementTree.TreeBuilder' objects}
       36    0.001    0.000    0.017    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:113(parse)
       33    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\analysis.py:81(def_reach)
     3113    0.001    0.000    0.004    0.000 C:\Users\DALab\anaconda3\lib\abc.py:96(__instancecheck__)
      272    0.001    0.000    0.035    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:2848(get_entry_map)
       69    0.001    0.000    0.001    0.000 {pandas._libs.lib.maybe_convert_numeric}
  313/119    0.001    0.000    0.006    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\runtime\context.py:180(get_meminfos)
     1150    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\context.py:459(_insert_global)
  496/143    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\sre_parse.py:174(getwidth)
      649    0.001    0.000    0.004    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\event.py:388(end_event)
      341    0.001    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\ntpath.py:77(join)
       34    0.001    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\worksheet\_read_only.py:101(_get_row)
      629    0.001    0.000    0.015    0.000 C:\Users\DALab\anaconda3\lib\re.py:289(_compile)
     3789    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1312    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:143(append)
     1243    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\utils.py:253(__setitem__)
     1242    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\builder.py:351(_insert)
2569/2375    0.001    0.000    0.006    0.000 {built-in method builtins.next}
       77    0.001    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:378(insert_func_defn)
     1298    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\event.py:84(__init__)
      287    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      263    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      346    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      576    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:42(__init__)
     1186    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:239(_get_reference)
      649    0.001    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\event.py:374(start_event)
        4    0.001    0.000    0.002    0.001 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\postproc.py:175(_patch_var_dels)
3483/2732    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     2477    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:30(_check)
      263    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      508    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\contextlib.py:82(__init__)
   195/97    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\serialisable.py:204(__hash__)
     1702    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
